"code","level","cause","sex","0-28 days","1-59 months","5-14 years","15-29 years","30-49 years","50-59 years","60-69 years","70+ years","year","region"
"0",0,"All Causes","Male",566870,909470,255877,295878,621960,407436,473643,673246,"2019","Afr"
"1",1,"Communicable & Nutritional","Male",512311,746611,146329,120625,283877,133086,112738,143958,"2019","Afr"
"1A",2,"Infectious and parasitic diseases","Male",28088,463168,126212,110067,253957,105320,72599,70056,"2019","Afr"
"1A01",3,"Tuberculosis","Male",0,24355,9620,40826,88344,37140,18274,15667,"2019","Afr"
"1A02",3,"STDs excluding HIV","Male",6945,9462,308,48,218,238,115,65,"2019","Afr"
"1A02a",4,"Syphilis","Male",6945,9462,288,34,161,181,92,34,"2019","Afr"
"1A02b",4,"Chlamydia","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A02c",4,"Gonorrhoea","Male",0,0,2,6,18,13,10,5,"2019","Afr"
"1A02d",4,"Trichomoniasis","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A02e",4,"Genital herpes","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A02f",4,"Other STDs","Male",0,0,18,7,39,44,14,26,"2019","Afr"
"1A03",3,"HIV/AIDS","Male",248,28150,13634,29704,107844,30250,10824,3232,"2019","Afr"
"1A04",3,"Diarrhoeal diseases","Male",3275,119839,35153,13533,22939,17454,23032,35466,"2019","Afr"
"1A05",3,"Childhood-cluster diseases","Male",8164,84758,9961,877,1024,562,452,264,"2019","Afr"
"1A05a",4,"Whooping cough","Male",0,31764,3170,157,80,32,0,0,"2019","Afr"
"1A05b",4,"Diphtheria","Male",0,1883,466,21,31,17,0,0,"2019","Afr"
"1A05c",4,"Measles","Male",0,50999,5501,79,32,0,0,0,"2019","Afr"
"1A05d",4,"Tetanus","Male",8164,112,823,620,881,514,452,264,"2019","Afr"
"1A06",3,"Meningitis","Male",8424,28532,13691,6071,7978,4268,3944,3868,"2019","Afr"
"1A07",3,"Encephalitis","Male",251,882,507,402,440,182,324,213,"2019","Afr"
"1A08",3,"Hepatitis","Male",0,978,889,927,2098,1097,1184,1137,"2019","Afr"
"1A08a",4,"Acute hepatitis A","Male",0,369,614,370,857,559,395,474,"2019","Afr"
"1A08b",4,"Acute hepatitis B","Male",0,542,238,529,1162,494,723,600,"2019","Afr"
"1A08c",4,"Acute hepatitis C","Male",0,44,31,15,55,32,38,37,"2019","Afr"
"1A08d",4,"Acute hepatitis E","Male",0,23,6,13,23,11,28,27,"2019","Afr"
"1A09",3,"Parasitic and vector diseases","Male",1,130854,25102,15242,18875,11928,12255,8244,"2019","Afr"
"1A09a",4,"Malaria","Male",0,126907,17462,11832,14637,9984,10558,6899,"2019","Afr"
"1A09b",4,"Trypanosomiasis","Male",0,16,259,211,193,55,33,17,"2019","Afr"
"1A09c",4,"Chagas disease","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09d",4,"Schistosomiasis","Male",0,69,247,425,1398,1087,1007,1014,"2019","Afr"
"1A09e",4,"Leishmaniasis","Male",0,527,1272,260,134,24,18,13,"2019","Afr"
"1A09f",4,"Lymphatic filariasis","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09g",4,"Onchocerciasis","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09h",4,"Cysticercosis","Male",0,28,126,373,657,221,145,77,"2019","Afr"
"1A09i",4,"Echinococcosis","Male",0,147,99,73,138,63,57,64,"2019","Afr"
"1A09j",4,"Dengue","Male",0,3,2,1,1,0,0,1,"2019","Afr"
"1A09k",4,"Trachoma","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09l",4,"Yellow fever","Male",0,328,1812,634,398,105,61,31,"2019","Afr"
"1A09m",4,"Rabies","Male",0,2830,3823,1433,1317,389,376,128,"2019","Afr"
"1A10",3,"Intestinal nematode infections","Male",0,602,225,11,11,4,5,7,"2019","Afr"
"1A10a",4,"Ascariasis","Male",0,602,225,11,11,4,5,7,"2019","Afr"
"1A10b",4,"Trichuriasis","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A10c",4,"Hookworm disease","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A10d",4,"Food-bourne trematodes","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A11",3,"Leprosy","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1A12",3,"Other infectious diseases","Male",781,34756,17122,2427,4185,2198,2191,1891,"2019","Afr"
"1B",2,"Respiratory Infectious","Male",41006,204074,16940,9407,27385,25460,37419,68061,"2019","Afr"
"1B01",3,"Lower respiratory infections","Male",40972,202679,16635,9327,27179,25356,37329,67950,"2019","Afr"
"1B02",3,"Upper respiratory infections","Male",8,1365,275,69,191,94,76,102,"2019","Afr"
"1B03",3,"Otitis media","Male",25,30,31,12,14,11,13,10,"2019","Afr"
"1C",2,"Maternal conditions","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1D",2,"Neonatal conditions","Male",443216,50998,0,0,0,0,0,0,"2019","Afr"
"1D01",3,"Preterm birth complications","Male",166616,23906,0,0,0,0,0,0,"2019","Afr"
"1D02",3,"Birth asphyxia and birth trauma","Male",167793,22778,0,0,0,0,0,0,"2019","Afr"
"1D03",3,"Neonatal sepsis and infections","Male",90073,0,0,0,0,0,0,0,"2019","Afr"
"1D04",3,"Other neonatal conditions","Male",18735,4314,0,0,0,0,0,0,"2019","Afr"
"1E",2,"Nutritional deficiencies","Male",0,28371,3176,1150,2535,2306,2719,5841,"2019","Afr"
"1E01",3,"Protein-energy malnutrition","Male",0,27923,3132,1107,2392,2139,2559,5500,"2019","Afr"
"1E02",3,"Iodine deficiency","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1E03",3,"Vitamin A deficiency","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"1E04",3,"Iron-deficiency anaemia","Male",0,0,0,0,1,0,0,9,"2019","Afr"
"1E05",3,"Other nutritional deficiencies","Male",0,448,44,43,142,167,160,332,"2019","Afr"
"2",1,"Noncommunicable","Male",49700,90204,43141,58280,210111,222313,317489,485715,"2019","Afr"
"2A",2,"Malignant neoplasms","Male",16,2057,3586,11236,50351,40701,51558,69316,"2019","Afr"
"2A01",3,"Mouth and oropharynx cancers","Male",0,0,25,356,3011,3027,2850,1824,"2019","Afr"
"2A01a",4,"Lip and oral cavity","Male",0,0,9,95,1441,1530,1634,1248,"2019","Afr"
"2A01b",4,"Nasopharynx","Male",0,0,16,239,1129,920,693,341,"2019","Afr"
"2A01c",4,"Other pharynx","Male",0,0,0,21,441,577,523,235,"2019","Afr"
"2A02",3,"Oesophagus cancer","Male",0,0,0,87,2809,3502,3698,3317,"2019","Afr"
"2A03",3,"Stomach cancer","Male",0,0,5,209,2570,2870,3384,3339,"2019","Afr"
"2A04",3,"Colon and rectum cancers","Male",0,0,4,242,3001,3194,4226,5082,"2019","Afr"
"2A05",3,"Liver cancer","Male",7,278,186,798,7184,4892,4916,4909,"2019","Afr"
"2A05a",4,"Liver cancer secondary to hepatitis B","Male",0,0,47,572,4646,2611,2092,1526,"2019","Afr"
"2A05b",4,"Liver cancer secondary to hepatitis C","Male",0,0,1,18,535,639,887,1365,"2019","Afr"
"2A05c",4,"Liver cancer secondary to alcohol use","Male",0,0,0,55,1310,1184,1451,1409,"2019","Afr"
"2A05d",4,"Other liver cancer","Male",7,278,138,154,694,458,486,609,"2019","Afr"
"2A06",3,"Pancreas cancer","Male",0,0,0,21,738,1301,1824,1797,"2019","Afr"
"2A07",3,"Trachea, bronchus, lung cancers","Male",0,0,4,81,1879,3670,4706,4559,"2019","Afr"
"2A08",3,"Melanoma and other skin cancers","Male",0,3,0,69,1126,1611,1758,2019,"2019","Afr"
"2A08a",4,"Malignant skin melanoma","Male",0,3,0,39,243,256,504,573,"2019","Afr"
"2A08b",4,"Non-melanoma skin cancer","Male",0,0,0,30,883,1355,1254,1446,"2019","Afr"
"2A09",3,"Breast cancer","Male",0,0,0,5,2,0,0,1,"2019","Afr"
"2A10",3,"Cervix uteri cancer","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2A11",3,"Corpus uteri cancer","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2A12",3,"Ovary cancer","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2A13",3,"Prostate cancer","Male",0,0,0,16,128,1135,7766,25861,"2019","Afr"
"2A14",3,"Testicular cancer","Male",0,6,1,141,177,94,99,72,"2019","Afr"
"2A15",3,"Kidney cancer","Male",0,67,107,161,1259,466,550,482,"2019","Afr"
"2A16",3,"Bladder cancer","Male",0,0,2,27,762,932,1361,2110,"2019","Afr"
"2A17",3,"Brain and nervous system cancers","Male",1,239,397,430,1549,886,674,486,"2019","Afr"
"2A18",3,"Gallbladder and biliary tract cancer","Male",0,0,0,5,102,159,269,386,"2019","Afr"
"2A19",3,"Larynx cancer","Male",0,0,1,17,540,1167,1525,1057,"2019","Afr"
"2A20",3,"Thyroid cancer","Male",0,0,1,16,45,89,210,382,"2019","Afr"
"2A21",3,"Mesothelioma","Male",0,0,0,5,22,50,124,198,"2019","Afr"
